Date,Length,Name,Text
2014-11-13,1,Cecilia Malmström,Meeting: Friends of the Earth Europe
2014-11-13,1,Cecilia Malmström,"Meeting: Lord Ian Livingston, UK Minister for Trade and Investment"
2014-11-13,1,Johannes Hahn,Mr Johannes Hahn participates in the joint debate on the Republic of Moldova in the European parliament. Mr Johannes Hahn receiving Minister for Foreign Affairs of Albania Mr Ditmir Bushati.
2014-11-13,1,Federica Mogherini,"Ms Federica Mogherini visits Riga, Latvia"
2014-11-14,1,Carlos Moedas,"Commissioner Moedas delivers a keynote speech at the International Conference on ""Lithuanian Research and Industry 2014: Valleys as a Medium for Innovation Economy"", in Kaunas, Lithuania"
2014-11-14,1,Carlos Moedas,"Commissioner Moedas meets with Prof. Petras Baršauskas, rector of Kaunas University of Technology, in Kaunas, Lithuania"
2014-11-14,1,Carlos Moedas,"Commissioner Moedas takes part in the Opening Ceremony of the KTU Science, Technology and Business Centre and Technological Business Incubator in Kaunas, Lithuania"
2014-11-14,1,Cecilia Malmström,"In Stockholm, SE: Meeting Mikael Damberg, Minister for Enterprise & Innovation"
2014-11-14,1,Cecilia Malmström,"In Stockholm, SE: Seminar on 20 years since the referendum on EU membership"
2014-11-14,1,Maroš Šefčovič,Meeting with the Ukrainian Energy and Coal Industry Minister Yury Prodan in Kiev.
2014-11-14,1,Maroš Šefčovič,Meeting with the Ukrainian President Petro Poroshenko in Kiev.
2014-11-14,1,Maroš Šefčovič,Meeting with the Ukrainian Prime Minister Arseniy Yatsenyuk in  Kiev.
2014-11-14,1,Johannes Hahn,Mr Johannes Hahn participating in Vienna Initiative Financial Forum on the Banking Sector.
2014-11-15,1,Cecilia Malmström,"In Växjö, SE: Awards ceremony, receiving Dag Hammarskjöld prize"
2014-11-17,1,Johannes Hahn,08:00 meets Spanish Foreign Minister Mr José García-Margallo y Marfil ; 10:00 participates in the Foreign Affairs Council ; 16:00 meets German Foreign Minister Mr Frank-Walter Steinmeier ;17:15 meets Latvian Minister of Foreign Affairs Mr Edgars Rinkēvičs
2014-11-17,1,Johannes Hahn,18:00 Mr Johannes Hahn participates in the Association Council with Georgia
2014-11-17,1,Federica Mogherini,"Chairs the Foreign Affairs Council, Brussels"
2014-11-17,1,Federica Mogherini,"Co-chairs the first EU-Georgia Association Council, Brussels"
2014-11-17,1,Carlos Moedas,"Commissioner Moedas gives an opening speech at the 6th European Innovation Summit, European Parliament, Brussels"
2014-11-17,1,Carlos Moedas,"Commissioner Moedas receives Luc Soete, chairman of RISE"
2014-11-17,1,Neven Mimica,Keynote speech at CONCORD’s General Assembly
2014-11-17,1,Miguel Arias Cañete,Keynote Speech at the 21st Summit of Chairman of EPP Parliamentary groups in National parliaments and in the European Parliament
2014-11-17,1,Maroš Šefčovič,Keynote speech at the Conference on EU Energy Policy and Competitiveness: 'How to shape EU Energy Policy so as to boost European competitiveness' in Brussels.
2014-11-17,1,Miguel Arias Cañete,Keynote speech at the EU-High Level Energy Union Conference
2014-11-17,1,Neven Mimica,Meeting with Kyrgyzstan Minister of Foreign Affairs Erlan Abdyldaev and signature of the Multi-Annual Indicative Programme
2014-11-17,1,Maroš Šefčovič,Meeting with US Special Climate Envoy Todd Stern in Brussels.
2014-11-17,1,Miguel Arias Cañete,"Meeting with US Special Envoy for Climate Change, Todd Stern"
2014-11-17,1,Cecilia Malmström,"Meeting: Irakli Garibashvili, Prime Minister of Georgia"
2014-11-17,1,Cecilia Malmström,"Meeting: Pavlo Klimkin, Foreign Minister of Ukraine"
2014-11-17,1,Andrus Ansip,"Meets Mr Fadi Chehadé, CEO and President of ICANN"
2014-11-17,1,Federica Mogherini,"Meets Mr Pavlo Klimkin, Ukrainian Minister of Foreign Affairs, to sign the Agreement between the European Union and Ukraine on the status of the EU Advisory Mission for Civilian Security Sector Reform Ukraine (EUAM Ukraine), Brussels"
2014-11-17,1,Margrethe Vestager,"Participation in a dinner with the Heads of ECN (European Competition Network) competition authorities, Brussels"
2014-11-17,1,Margrethe Vestager,"Participation in Seminar with journalists from Jutland and Funen, Denmark"
2014-11-17,1,Kristalina Georgieva,Мeetng with Mr. Jean Asselborn - Minister of Foreign Affairs of Luxembourg
2014-11-18,1,Johannes Hahn,"10:30 Mr Johannes Hahn meets Hungarian Minister of Foreign Affairs and Trade Mr Péter Szijjártó ; 11:00  meets Cypriot Foreign Minister Mr Ioannis Kasoulides ; 11:30  meets Danish Minister of Foreign Affairs, Mr Martin Lidegaard"
2014-11-18,1,Johannes Hahn,12:00 Mr Johannes Hahn meets Swedish Minister for Foreign Affairs Mrs Margot Wallström; participates in the working lunch hosted by EPP at the European Parliament with Ambassadors of the Southern Neighbourhood;
2014-11-18,1,Johannes Hahn,16:30  Mr Johannes Hahn meets Serbian Deputy Prime Minister and Minister of Foreign Affairs of Republic Mr Ivica Dačić; 17:30  Mr Johannes Hahn meets Georgian Prime Minister Mr Irakli Garibashvili
2014-11-18,1,Andrus Ansip,Attends meeting of the CEOs of the European Magazine Media Association
2014-11-18,1,Federica Mogherini,"Chairs the Foreign Affairs Council (Defence), Brussels"
2014-11-18,1,Carlos Moedas,Commissioner Moedas meets the Portuguese correspondents in Brussels
2014-11-18,1,Carlos Moedas,"Commissioner Moedas receives Mr Alain Beretz, President of the League of European Research Universities (LERU), and Mr Kurt Deketelaere, Secretary General of LERU"
2014-11-18,1,Neven Mimica,Foreign Affairs Council - Defence meeting
2014-11-18,1,Jonathan Hill,"gives the opening address at the Conference on emerging challenges in retail finance and consumer policy, Brussels"
2014-11-18,1,Miguel Arias Cañete,"Keynote speech at ""Gas Infrastructure and Security Supply"" Conference"
2014-11-18,1,Neven Mimica,"Meeting with Bolivian Minister, Ms Caro Hinojosa and signature of the multi-annual indicative programme"
2014-11-18,1,Kristalina Georgieva,Meeting with Michael Roth - German Minister of State for Europe
2014-11-18,1,Kristalina Georgieva,Meeting with Mr Sebastian Kurz - Austrian Minister of Foreign Affairs
2014-11-18,1,Kristalina Georgieva,Meeting with Mrs Marylise Lebranchu - French Minister for Decentralisation and Public Service
2014-11-18,1,Kristalina Georgieva,Meeting with Ms Meglena Kuneva - Bulgarian Deputy Prime Minister for European Policy coordination and Institutional affairs
2014-11-18,1,Miguel Arias Cañete,"meeting with Prime Minister of Georgia, Irakli Garibashvili"
2014-11-18,1,Neven Mimica,Meeting with the Directors of the European Think Tanks Group
2014-11-18,1,Cecilia Malmström,"Meeting: Margot Wallström, Foreign Minister of Sweden"
2014-11-18,1,Cecilia Malmström,"Meeting: Martin Lidegaard, Foreign Minister of Denmark"
2014-11-18,1,Cecilia Malmström,Meeting: Trans-Atlantic Business Dialogue
2014-11-18,1,Federica Mogherini,"Meets Mr Ivica Dačić, Serbian Minister of Foreign Affairs, Brussels"
2014-11-18,1,Andrus Ansip,"Meets Sir Tim Berners-Lee, Inventor of the World Wide Web and Honorary Member of the Digital Enlightenment Forum"
2014-11-18,1,Maroš Šefčovič,Ministerial conference on 'Building a Euro-Mediterranean Energy Bridge' in Rome.
2014-11-18,1,Jonathan Hill,"Receives Guillaume PRACHE, Managing Director, Better Finance"
2014-11-18,1,Cecilia Malmström,"Speech at conference in the European Parliament on ""TTIP and Consumers: The Good, The Bad and The Ugly"""
2014-11-19,1,Neven Mimica,"'Delivering Somalia's New Deal Compact' Forum, Copenhagen"
2014-11-19,1,Johannes Hahn,"12:00 Mr Johannes Hahn meets President of the Parliamentary Assembly of the Council of Europe (PACE), Ms Anne Brasseur"
2014-11-19,1,Jean-Claude Juncker,"16:00 - Receives Anne Brasseur, President of the Parliamentary Assembly Council of Europe"
2014-11-19,1,Federica Mogherini,"Attends the weekly meeting of the Commission, Brussels"
2014-11-19,1,Cecilia Malmström,Commission College Meeting
2014-11-19,1,Carlos Moedas,"Commissioner Moedas meets Ms Stefania Giannini, Italian Minister for Education, Universities and Research, in Rome, Italy"
2014-11-19,1,Frans Timmermans,Dinner at the Dutch Permanent Representation for 'Dutch King's Commissioners'
2014-11-19,1,Maroš Šefčovič,Launch of the Emissions Gap Report from the United Nations Environment Programme (UNEP) in Brussels.
2014-11-19,1,Jean-Claude Juncker,Meeting of the College of Commissioners
2014-11-19,1,Kristalina Georgieva,Meeting with Mr Dara Murphy - Irish Minister for European Affairs and Data Protection
2014-11-19,1,Kristalina Georgieva,Meeting with Mr Tuomas Poystithe - Chairman of the Supervisory Committeee of OLAF
2014-11-20,1,Federica Mogherini,"Attends bilateral visits, Copenhagen, Denmark"
2014-11-20,1,Federica Mogherini,"Attends the High Level Partnership Forum on Somalia, Copenhagen, Denmark"
2014-11-20,1,Carlos Moedas,"Commissioner Moedas delivers a keynote speech at the APDC Conference, in Lisbon, Portugal"
2014-11-20,1,Carlos Moedas,"Commissioner Moedas meets with Mr Anibal Cavaco Silva, President of Portugal, in Lisbon, Portugal"
2014-11-20,1,Carlos Moedas,"Commissioner Moedas visits the Champalimaud Foundation in Lisbon, Portugal"
2014-11-20,1,Jonathan Hill,"In Paris (continued): meets Jean PISANI-FERRY, Commissioner General for Policy Planning; and Philippe LEGLISE-COSTA, Advisor on European Affairs."
2014-11-20,1,Jonathan Hill,"In Paris: meets Emmanuel MACRON, Minister of the Economy; Michel SAPIN, Minister for Finance; Steven MAIJOOR, Chair of ESMA; French Banking Federation; Henri de CASTRIES, Chairman of Axa; Jean-Pierre JOUYET, Secretary General of the President of France"
2014-11-20,1,Miguel Arias Cañete,Keynote Speech at the Atlantic Council Summit in Istanbul
2014-11-20,1,Frans Timmermans,"Meeting with Jan Ten Hoopen, President of Actal, Dutch Advisory Board on Regulatory Burden"
2014-11-20,1,Miguel Arias Cañete,Meeting with Minister of Energy and Natural Resources of the Republic of Turkey Taner Yildiz
2014-11-20,1,Kristalina Georgieva,Meeting with Mr Johannes Singhammer - Vice-President of the German Bundestag
2014-11-20,1,Frans Timmermans,"Meeting with Rolandas Krisciunas, Vice-Minister of Foreign Affairs of Lithuania"
2014-11-20,1,Miguel Arias Cañete,Meeting with US Secretary of Energy Ernest Moniz
2014-11-20,1,Kristalina Georgieva,Meeting with Ville Itälä - Member of the European Court of Auditors
2014-11-20,1,Andrus Ansip,"Meets Ms Julie Brill and Mrs Maureen K. Ohlhausen, Commissioners of the U.S. Federal Trade Commission, Mr Anthony Gardner, U.S. Ambassador to the European Union, and Mr Steve Conlon, U.S. Mission to the European Union"
2014-11-20,1,Johannes Hahn,Mr Johannes Hahn on official visit to Serbia
2014-11-20,1,Neven Mimica,"Second International Conference on Nutrition, organised by FAO and WHO, in Rome"
2014-11-21,1,Jean-Claude Juncker,"10:30 - Receives Reinhold Mitterlehner, Vice-Chancellor of Austria"
2014-11-21,1,Jean-Claude Juncker,"13:00 - is granted an audience with His Majesty the King of Belgium, le Roi PHILIPPE (Royal Palace, Belgium)"
2014-11-21,1,Carlos Moedas,"Commissioner Moedas meets with Mr Pedro Passos Coelho, Prime Minister of Portugal, in Lisbon, Portugal"
2014-11-21,1,Carlos Moedas,"Commissioner Moedas meets with University and Technological Institute Rectors in Lisbon, Portugal"
2014-11-21,1,Carlos Moedas,"Commissioner Moedas visits the Gulbenkian Foundation in Lisbon, Portugal"
2014-11-21,1,Cecilia Malmström,FAC Trade Council
2014-11-21,1,Kristalina Georgieva,First meeting with Staff Representatives
2014-11-21,1,Margrethe Vestager,"In Lisbon, Portugal: delivering a speech and participating in ALDE party Congress 2014; meetsing the Portuguese Minister of State and Finance, Ms Maria Luis Albuquerque; meeting the Governor of Banco de Portugal, Mr Carlos Costa"
2014-11-21,1,Maroš Šefčovič,"Keynote address to Euractiv – EU Stakeholder brunch in Kosice, Slovakia."
2014-11-21,1,Miguel Arias Cañete,Keynote Speech at the Montreal Protocol Meeting in Paris
2014-11-21,1,Frans Timmermans,"Meeting with Michael Froman, US Trade Representative Ambassador"
2014-11-21,1,Miguel Arias Cañete,Meeting with Minister of Foreign Affairs and International Development of France Laurent Fabius
2014-11-21,1,Kristalina Georgieva,Meeting with Mr Bojidar Lukarski - Bulgarian Minister of Economy
2014-11-21,1,Christos Stylianides,"Meeting with Mr. Robert Piper, Regional Humanitarian Coordinator for the Sahel"
2014-11-21,1,Neven Mimica,"Meeting with the Italian Minister of Foreign Affairs and International Cooperation, Mr Paolo Gentiloni, in Rome"
2014-11-21,1,Frans Timmermans,"Meeting with Thomas Markert, Executive Secretary of the Venice Commission"
2014-11-21,1,Cecilia Malmström,"Meeting: Michael Froman, United States Trade Representative"
2014-11-21,1,Johannes Hahn,Mr Johannes Hahn on official visit to Montenegro
2014-11-21,1,Federica Mogherini,Participates at the Foreign Affairs Council (Trade)
2014-11-24,2,Andrus Ansip,Attends European Parliament plenary session in Strasbourg
2014-11-24,2,Carlos Moedas,"Commissioner Moedas takes part in the European Parliament plenary session in Strasbourg, France"
2014-11-24,1,Cecilia Malmström,"In Strasbourg, FR: Debate in EP plenary about exports of dual-use products"
2014-11-24,1,Johannes Hahn,Mr Johannes Hahn participates in the Plenary meeting of the European Parliament in Strasbourg
2014-11-24,1,Corina Creţu,Participation to the Plenary Session of the European Parliament in Strasbourg
2014-11-24,1,Neven Mimica,Strasbourg Plenary Session
2014-11-25,1,Jean-Claude Juncker,"12:00 - Granted an audience with His Holiness, Pope Francis"
2014-11-25,1,Federica Mogherini,"Attends the college meeting of the Commission, Strasbourg"
2014-11-25,1,Federica Mogherini,"Attends the Plenary Session of the European Parliament, Strasbourg"
2014-11-25,1,Cecilia Malmström,Commission College meting: Adoption of transparency package (incl. increased transparency in TTIP negotiations)
2014-11-25,1,Carlos Moedas,"Commissioner Moedas takes part in the College meeting in Strasbourg, France"
2014-11-25,1,Jonathan Hill,Meeting of the College of Commissioners (Strasbourg)
2014-11-25,1,Jean-Claude Juncker,Meeting of the College of Commissioners (Strasbourg)
2014-11-25,1,Kristalina Georgieva,Meeting of the College of Commissioners (Strasbourg)
2014-11-25,1,Andrus Ansip,Meeting of the College of European Commissioners (Strasbourg)
2014-11-25,1,Kristalina Georgieva,Meeting with President Martin Schulz
2014-11-25,1,Johannes Hahn,Mr Johannes Hahn participates in the European Commission College meeting
2014-11-25,1,Johannes Hahn,Mr Johannes Hahn participates in the Plenary meeting of the European Parliament in Strasbourg
2014-11-26,1,Federica Mogherini,"Attends the Plenary Session of the European Parliament, Strasbourg"
2014-11-26,1,Christos Stylianides,Closing speech at the Annual Conference of the European Commission Humanitarian Aid Partners
2014-11-26,1,Jean-Claude Juncker,European Parliament plenary (Strasbourg)
2014-11-26,1,Christos Stylianides,"Meeting with Dr. Jemilah Mahmood, Chief of the World Humanitarian Summit 2016 Secretariat"
2014-11-26,1,Neven Mimica,"Meeting with GAO Hucheng, Minister of Commerce, Beijing"
2014-11-26,1,Neven Mimica,"Meeting with WANG Chao, Vice Minister of foreign Affairs, Beijing"
2014-11-26,1,Johannes Hahn,Mr Johannes Hahn participates in the Plenary Meeting of the European Parliament in Strasbourg
2014-11-26,1,Jonathan Hill,Participating in trilogue on European Long-term Investment Funds at the European Parliament (Strasbourg)
2014-11-26,1,Miguel Arias Cañete,Political debate in the EP Plenary Session in Strasburg on 2014 UN Climate
2014-11-26,1,Margrethe Vestager,"Receiving the Estonian Minister for Economic Affairs and Infrastructure, Ms Urve PALO"
2014-11-27,1,Carlos Moedas,"Commissioner Moedas makes an opening speech at the 20th Annual Meeting of the Leibniz-Gemeinschaft, in Berlin, Germany"
2014-11-27,1,Carlos Moedas,"Commissioner Moedas meets with Minister Johanna Wanka, German Federal Minister for Education and Research, and Mr Georg Schütte, German State Secretary at the Federal Ministry of Education and Research, in Berlin, Germany"
2014-11-27,1,Carlos Moedas,"Commissioner Moedas meets with Mrs Patricia Lips, Chairman of the Bundestag Committee on Education, Research and Technological Assessment, and Dr. Stefan Kaufmann, Member of the Bundestag, in Berlin, Germany"
2014-11-27,1,Carlos Moedas,"Commissioner Moedas meets with Prof. Dr. Matthias Kleiner, President of Leibniz-Gemeinschaft, in Berlin, Germany"
2014-11-27,1,Carlos Moedas,"Commissioner Moedas meets with Prof. Dr. Reimund Neugebauer, President of Fraunhofer Gesellschaft, in Berlin, Germany"
2014-11-27,1,Cecilia Malmström,"In Stockholm, SE: Meeting with food producers"
2014-11-27,1,Cecilia Malmström,"In Stockholm, SE: Meeting with Swedish Government"
2014-11-27,1,Corina Creţu,"Keynote Address at ""REGIO - Realizari si Perspective"" Conference in Bucharest"
2014-11-27,1,Maroš Šefčovič,"Maroš Šefčovič meets Mr. Erlan Idrissov, Minister of Foreign Affairs of Kazakhstan, in Astana."
2014-11-27,1,Maroš Šefčovič,"Maroš Šefčovič meets Mr. Karim Massimov, Prime-Minister of Kazakhstan, in Astana."
2014-11-27,1,Maroš Šefčovič,"Maroš Šefčovič meets Mr. Vladimir Shkolnik, Minister of Energy of Kazakhstan, in Astana."
2014-11-27,1,Maroš Šefčovič,Maroš Šefčovič participate at the ministerial meeting of the Energy Charter Conference in Kazakhstan.
2014-11-27,1,Kristalina Georgieva,Medal Ceremony 20 Years Service - DG Human Resources
2014-11-27,1,Neven Mimica,"Meeting with  Wang Weiguang, President of the Chinese Academy of Social Sciences, Beijing"
2014-11-27,1,Neven Mimica,"Meeting with HU Huaibang, Chairman of China Development Bank (CDB), Beijing"
2014-11-27,1,Miguel Arias Cañete,"Meeting with the Swedish Energy Minister, Ibrahim Baylan"
2014-11-27,1,Andrus Ansip,"Meets Anrijs Matiss, Latvian Transport Minister; Kaspars Gerhards, Latvian Minister of Environmental Protection and Regional Development; Ambassador Juris Stalmeistars, Deputy Permanent Representative of Latvia to the EU"
2014-11-27,1,Andrus Ansip,"Meets Axelle Lemaire, French State Secretary for Digital Affairs"
2014-11-27,1,Andrus Ansip,"Meets Xavier Bettel, Prime Minister and Minister for Media and Communications of Luxembourg"
2014-11-27,1,Johannes Hahn,Mr Johannes Hahn on official visit to Ukraine
2014-11-27,1,Federica Mogherini,"Opens the 4th Euro-African Ministerial Conference on Migration and Development, Rabat Process, Rome"
2014-11-27,1,Federica Mogherini,Participates in the Informal joint meeting of EU Foreign and Home Affairs Ministers
2014-11-27,1,Jonathan Hill,"Receives Benoît Cœuré, Executive Board Member of the European Central Bank"
2014-11-27,1,Margrethe Vestager,"Receiving the Danish Minister for Business and Growth, Mr Henrik SASS LARSEN"
2014-11-27,1,Margrethe Vestager,"Receiving the Romanian Minister of Public Finance, Ms Ioana PETRESCU"
2014-11-27,1,Neven Mimica,"Speech at the China International Development and Research Network (CIDRN), Beijing"
2014-11-27,1,Neven Mimica,"Speech at the opening Ceremony of 2014  EU China High Level Culture Forum: towards Post 2015 World, Beijing"
2014-11-28,1,Corina Creţu,Keynote Address at Eurochild's Annual Conference in Bucharest
2014-11-28,1,Maroš Šefčovič,"Maroš Šefčovič meets the Minister of Economic Development and Industry Shahin Mustafayev in Baku, Azerbaijan"
2014-11-28,1,Maroš Šefčovič,"Maroš Šefčovič meets the Minister of Energy Natig Aliyev in Baku, Azerbaijan."
2014-11-28,1,Maroš Šefčovič,"Maroš Šefčovič meets the Minister of Foreign Affairs Elmar Mammadyarov in Baku, Azerbaijan."
2014-11-28,1,Maroš Šefčovič,Maroš Šefčovič meets the President of Azerbaijan Ilham Aliyev in Baku.
2014-11-28,1,Neven Mimica,"Meeting with XU Xianping, Vice Chairman of the National Development and Reform Commission (NDRC), Beijing"
2014-11-28,1,Johannes Hahn,Mr Johannes Hahn on official visit to Ukraine
2014-11-28,1,Federica Mogherini,"Opens the 4th Euro-African Ministerial Conference on Migration and Development, Khartoum Process, Rome"
2014-11-28,-27,Kristalina Georgieva,"Visit to Sofia, Bulgaria"
2014-11-30,1,Carlos Moedas,"Commissioner Moedas delivers a speech at the South African Women in Science Dinner in Cape Town, South Africa"
2014-12-01,1,Johannes Hahn,09:30 Mr Johannes Hahn receives the President of the Committee of the Regions (CoR) Mr Michel Lebrun
2014-12-01,1,Johannes Hahn,12:45 Mr Johannes Hahn meets the Prime Minister of Lebanon Mr Tammam Saeb Salam
2014-12-01,1,Johannes Hahn,15:00 Mr Johannes Hahn addresses the Committee on Foreign Affairs (AFET) of the European Parliament
2014-12-01,1,Jonathan Hill,Attends 'The New Legislature of the European Parliament and the establishment of the new European Commission' hosted by the US Ambassadors to the EU and the UK and Syed Kamall MEP (European Parliament)
2014-12-01,1,Tibor Navracsics,attends at European Sports Forum - Milan
2014-12-01,1,Neven Mimica,"Bilateral meeting with Mr Jean-Paul Adam, Seychelles MAE and signature of the NIP"
2014-12-01,1,Federica Mogherini,"Chairs the formal meeting of Relex Commissioners, Brussels"
2014-12-01,1,Carlos Moedas,"Commissioner Moedas delivers a speech at the European and Developing Countries Clinical Trials Partnership, in Cape Town, South Africa"
2014-12-01,1,Carlos Moedas,"Commissioner Moedas delivers an opening speech at the EDCTP Ministerial dinner hostel by South African Minister of Science and Technology, Ms Naledi Pandor"
2014-12-01,1,Carlos Moedas,"Commissioner Moedas meets with Paul Stoffels, Chairman of Janssen Pharmaceutical Companies of Johnson and Johnson, in Cape Town, South Africa"
2014-12-01,1,Carlos Moedas,"Commissioner Moedas meets with South African Minister Naledi Pandor, Minister of Science and Technology, in Cape Town, South Africa"
2014-12-01,1,Carlos Moedas,"Commissioner Moedas meets with Trevor Mundel, President of the Global Health Division, Bill & Melinda Gates Foundation, in Cape Town, South Africa"
2014-12-01,1,Carlos Moedas,Commissioner Moedas takes part at the opening of Desmond Tutu programme for World Aids Day
2014-12-01,1,Carlos Moedas,"Commissioner Moedas takes part in the Marine Research Breakfast, in Cape Town, South Africa"
2014-12-01,1,Carlos Moedas,"Commissioner Moedas takes part in the opening ceremony of the ERAfrica High-Level Showcase, in Cape Town, South Africa"
2014-12-01,1,Carlos Moedas,Commissioner Moedas visits EDCTP (Khayekitsha) in South Africa
2014-12-01,1,Vytenis Andriukaitis,EPSCO Council meeting
2014-12-01,1,Vytenis Andriukaitis,EPSCO Press Conference
2014-12-01,1,Christos Stylianides,"Formal meeting of Relex Commissioners, Brussels"
2014-12-01,1,Marianne Thyssen,"Forum Inauguration ESF France, in Paris"
2014-12-01,1,Miguel Arias Cañete,Gives a speech at the ITRE Committee meeting at the European Parliament
2014-12-01,1,Margrethe Vestager,"Giving a key note speech at the Danish Foreign Policy Society (Det Udenrigspolitiske Selskab), Denmark"
2014-12-01,1,Cecilia Malmström,"In Stockholm, SE: Meeting Carolina Lemne, CEO of the Conferation of Swedish Enterprise"
2014-12-01,1,Cecilia Malmström,"In Stockholm, SE: Meeting Save the Children"
2014-12-01,1,Cecilia Malmström,"In Stockholm, SE: Speech at the Stockholm Chamber of Commerce"
2014-12-01,1,Corina Creţu,Keynote Address at the Stakeholder Conference on the EU Strategy for the Alpine Region
